problem,solution
51 + 39,90
3 - 57,-54
89 + 2,91
28 + 77,105
11 - 62,-51
80 / 6,13
39 * 54,2106
54 + 43,97
23 + 83,106
3 * 77,231
86 / 6,14
94 * 78,7332
74 / 1,74
96 * 49,4704
26 + 37,63
63 / 4,15
18 * 70,1260
38 - 28,10
91 * 85,7735
60 * 41,2460
30 + 74,104
18 + 47,65
77 + 40,117
28 * 34,952
90 / 10,9
6 / 3,2
50 - 18,32
90 * 60,5400
34 - 38,-4
7 - 62,-55
21 / 9,2
84 - 89,-5
21 - 26,-5
55 / 5,11
68 * 39,2652
94 / 7,13
59 / 5,11
92 + 88,180
27 / 1,27
92 - 13,79
82 / 3,27
42 - 55,-13
62 / 7,8
84 * 20,1680
3 - 91,-88
23 - 20,3
13 - 3,10
48 * 31,1488
53 / 10,5
38 + 88,126
56 * 54,3024
46 + 15,61
61 * 75,4575
59 * 93,5487
83 - 25,58
36 - 71,-35
50 * 66,3300
17 * 44,748
3 - 95,-92
49 * 13,637
96 + 38,134
17 * 8,136
34 / 5,6
70 - 9,61
73 - 96,-23
68 - 65,3
77 + 60,137
28 - 38,-10
1 * 89,89
92 / 4,23
91 - 90,1
26 + 5,31
14 * 73,1022
75 - 14,61
48 / 9,5
8 + 36,44
66 + 70,136
82 / 4,20
59 + 48,107
66 * 83,5478
75 - 55,20
65 / 4,16
97 - 30,67
14 / 3,4
41 - 92,-51
23 + 79,102
16 - 25,-9
62 - 76,-14
20 + 68,88
36 + 81,117
33 * 99,3267
17 / 4,4
57 / 9,6
55 / 5,11
17 - 5,12
16 / 3,5
94 / 8,11
77 - 52,25
72 * 96,6912
66 - 93,-27
31 - 30,1
31 - 50,-19
18 + 32,50
88 + 100,188
14 - 14,0
60 + 23,83
52 * 7,364
42 - 43,-1
63 + 36,99
3 - 18,-15
60 / 10,6
79 + 28,107
96 * 36,3456
99 * 27,2673
1 / 8,0
69 + 18,87
38 + 26,64
37 * 94,3478
36 / 9,4
45 - 97,-52
94 * 26,2444
87 - 83,4
10 + 53,63
59 * 96,5664
16 - 55,-39
70 + 82,152
47 / 1,47
7 - 62,-55
62 + 41,103
80 / 6,13
79 - 71,8
17 + 20,37
78 + 57,135
90 - 14,76
45 + 83,128
40 / 3,13
18 + 10,28
97 - 93,4
58 + 12,70
96 + 14,110
15 * 75,1125
40 / 10,4
85 / 7,12
94 / 6,15
12 / 10,1
76 - 72,4
41 + 87,128
59 * 100,5900
58 - 25,33
95 - 67,28
10 * 86,860
32 * 79,2528
72 + 82,154
5 + 45,50
70 * 23,1610
78 - 14,64
88 - 73,15
51 * 33,1683
35 / 6,5
19 / 6,3
42 - 10,32
86 - 14,72
77 / 7,11
32 - 62,-30
36 - 100,-64
11 * 5,55
73 * 39,2847
48 - 100,-52
15 / 2,7
77 * 52,4004
19 - 64,-45
32 - 60,-28
4 + 42,46
74 * 72,5328
8 * 6,48
33 + 35,68
79 - 25,54
61 / 6,10
9 + 2,11
23 * 49,1127
78 * 31,2418
16 * 100,1600
44 * 86,3784
88 * 51,4488
45 + 63,108
21 + 44,65
7 + 15,22
59 / 6,9
48 / 3,16
43 / 10,4
44 * 89,3916
71 + 16,87
76 * 26,1976
94 + 78,172
82 - 41,41
84 - 70,14
66 / 3,22
4 * 82,328
59 - 48,11
38 * 13,494
61 + 52,113
16 - 1,15
35 - 1,34
50 / 2,25
47 / 10,4
39 * 38,1482
7 / 4,1
31 / 3,10
20 * 54,1080
42 + 73,115
100 + 54,154
70 + 39,109
76 / 1,76
43 - 27,16
63 - 98,-35
24 + 52,76
53 / 7,7
8 - 65,-57
11 / 6,1
54 * 87,4698
68 - 88,-20
13 + 80,93
4 + 68,72
69 * 67,4623
55 + 31,86
83 - 29,54
21 / 9,2
25 - 65,-40
80 + 9,89
7 + 48,55
66 / 8,8
8 - 3,5
68 / 10,6
47 * 62,2914
41 / 1,41
35 + 81,116
17 - 35,-18
4 + 60,64
92 / 8,11
30 + 87,117
95 - 30,65
26 * 19,494
38 - 87,-49
63 / 3,21
35 + 2,37
25 - 76,-51
24 - 6,18
64 + 64,128
51 * 68,3468
77 - 20,57
88 - 24,64
23 / 9,2
18 - 58,-40
35 - 58,-23
58 - 98,-40
7 + 84,91
63 * 11,693
95 - 21,74
63 - 7,56
20 - 3,17
50 * 63,3150
2 / 9,0
93 - 83,10
83 + 39,122
66 * 26,1716
92 * 16,1472
96 - 35,61
72 - 41,31
71 / 1,71
98 * 99,9702
11 * 56,616
75 / 9,8
85 / 6,14
87 / 10,8
31 + 94,125
60 / 5,12
43 / 9,4
38 + 68,106
88 - 14,74
46 * 26,1196
54 / 1,54
93 - 9,84
77 * 5,385
85 + 74,159
88 * 6,528
40 / 7,5
19 - 2,17
51 * 39,1989
11 - 26,-15
56 / 8,7
97 * 8,776
75 * 86,6450
21 - 42,-21
82 + 18,100
88 / 5,17
22 - 98,-76
40 * 7,280
24 - 29,-5
36 + 54,90
3 - 27,-24
37 / 5,7
69 / 10,6
52 * 100,5200
33 - 44,-11
93 - 73,20
61 - 57,4
50 + 98,148
54 - 20,34
84 + 64,148
96 / 3,32
5 - 72,-67
20 - 35,-15
100 / 9,11
52 * 72,3744
68 * 45,3060
90 + 16,106
66 * 74,4884
52 * 87,4524
78 / 3,26
17 * 77,1309
12 * 28,336
76 + 65,141
60 - 93,-33
27 + 60,87
5 * 88,440
89 - 14,75
70 + 96,166
17 + 13,30
42 * 71,2982
39 + 86,125
98 + 11,109
49 + 34,83
33 + 60,93
19 - 53,-34
54 / 6,9
82 * 53,4346
54 * 29,1566
89 + 63,152
55 / 8,6
60 - 46,14
30 - 66,-36
46 / 6,7
6 - 1,5
97 - 94,3
67 - 74,-7
22 * 40,880
58 + 77,135
31 * 20,620
42 * 50,2100
36 / 5,7
100 / 9,11
1 / 8,0
13 * 28,364
72 - 90,-18
43 + 37,80
37 * 98,3626
62 - 30,32
42 + 55,97
81 / 6,13
98 + 80,178
30 * 19,570
75 / 3,25
89 / 3,29
34 + 70,104
40 / 7,5
64 - 23,41
56 - 44,12
14 / 3,4
11 - 6,5
31 - 50,-19
36 * 76,2736
31 - 44,-13
60 + 37,97
1 / 8,0
17 * 41,697
34 + 78,112
32 / 2,16
42 * 50,2100
73 - 99,-26
99 / 4,24
47 - 11,36
86 - 6,80
73 * 32,2336
93 - 91,2
73 / 7,10
86 * 33,2838
31 + 85,116
83 * 24,1992
68 / 4,17
45 * 77,3465
5 / 4,1
31 + 37,68
60 + 97,157
33 * 17,561
52 + 23,75
2 / 2,1
33 / 10,3
63 * 66,4158
47 / 10,4
17 + 97,114
29 - 41,-12
57 - 10,47
25 - 16,9
65 / 3,21
13 / 6,2
24 + 30,54
62 - 46,16
72 - 44,28
12 * 69,828
14 + 9,23
38 * 48,1824
32 - 2,30
42 * 10,420
40 / 2,20
73 * 22,1606
74 - 62,12
39 * 26,1014
66 - 91,-25
22 + 45,67
96 / 8,12
8 * 24,192
96 / 2,48
54 / 9,6
85 * 22,1870
85 - 81,4
97 - 17,80
42 * 58,2436
89 + 9,98
45 - 24,21
98 / 7,14
6 - 21,-15
86 / 5,17
42 * 18,756
30 + 73,103
19 * 70,1330
51 / 9,5
88 / 3,29
56 - 17,39
99 * 20,1980
20 - 56,-36
11 - 5,6
1 * 36,36
54 - 34,20
99 / 7,14
55 * 41,2255
33 + 35,68
36 + 42,78
52 / 9,5
59 + 54,113
49 / 10,4
78 / 8,9
43 / 8,5
73 / 6,12
20 - 3,17
74 + 71,145
78 + 84,162
87 - 54,33
31 + 24,55
85 + 10,95
89 * 80,7120
26 * 90,2340
43 * 1,43
78 + 61,139
68 * 18,1224
33 * 24,792
81 - 85,-4
89 * 56,4984
67 * 92,6164
83 / 6,13
100 - 86,14
4 / 4,1
10 + 51,61
36 - 20,16
32 * 7,224
95 / 7,13
30 + 67,97
23 - 51,-28
8 - 54,-46
46 + 54,100
58 + 78,136
80 + 80,160
64 / 5,12
32 * 20,640
53 - 70,-17
20 * 55,1100
62 * 14,868
1 + 86,87
34 * 90,3060
19 * 93,1767
85 + 83,168
61 * 5,305
32 * 95,3040
55 - 40,15
32 - 69,-37
35 * 62,2170
29 * 65,1885
38 * 36,1368
61 + 87,148
86 + 35,121
56 / 4,14
79 * 16,1264
44 - 96,-52
75 * 18,1350
55 * 16,880
76 * 43,3268
6 / 6,1
59 * 87,5133
19 / 9,2
55 * 17,935
83 + 49,132
39 * 18,702
8 / 1,8
35 * 27,945
43 / 7,6
47 + 68,115
69 + 71,140
88 + 78,166
1 - 8,-7
41 * 19,779
52 - 86,-34
26 - 26,0
87 * 96,8352
44 * 7,308
1 / 1,1
94 + 87,181
86 - 4,82
14 - 53,-39
95 / 9,10
79 + 36,115
21 * 7,147
79 * 25,1975
16 * 27,432
97 / 6,16
72 - 59,13
61 + 32,93
7 * 4,28
23 * 71,1633
78 - 88,-10
11 + 47,58
60 * 4,240
1 + 4,5
95 + 82,177
22 - 93,-71
38 * 94,3572
40 * 20,800
46 * 91,4186
8 / 10,0
73 - 80,-7
83 - 78,5
16 * 35,560
59 / 8,7
39 + 12,51
50 / 10,5
47 - 91,-44
5 * 85,425
20 + 79,99
55 + 11,66
14 * 86,1204
86 / 2,43
83 * 75,6225
65 + 66,131
76 / 3,25
51 - 67,-16
95 / 8,11
95 * 66,6270
45 * 20,900
46 + 5,51
78 / 6,13
75 * 9,675
87 - 58,29
50 - 38,12
55 * 22,1210
98 + 58,156
87 * 58,5046
71 - 59,12
16 - 51,-35
5 * 55,275
23 * 34,782
99 * 87,8613
84 + 90,174
41 - 98,-57
49 / 7,7
14 / 3,4
89 + 71,160
66 * 95,6270
45 + 100,145
26 * 67,1742
35 / 2,17
67 / 1,67
21 / 10,2
23 / 7,3
16 / 8,2
4 + 11,15
37 / 10,3
96 + 48,144
24 * 89,2136
18 * 35,630
73 / 7,10
3 * 14,42
67 / 2,33
10 - 30,-20
83 - 1,82
29 - 58,-29
57 + 82,139
37 + 64,101
85 - 17,68
57 / 2,28
95 / 1,95
19 - 2,17
36 * 64,2304
62 / 5,12
87 + 60,147
13 * 72,936
6 - 96,-90
37 / 9,4
22 * 98,2156
17 + 15,32
18 * 70,1260
32 * 38,1216
15 - 19,-4
100 / 4,25
50 + 33,83
5 - 86,-81
74 / 1,74
17 + 48,65
35 + 63,98
64 + 28,92
10 - 80,-70
28 * 94,2632
11 * 34,374
32 + 1,33
45 - 21,24
74 - 92,-18
42 / 2,21
66 - 60,6
21 / 9,2
57 + 86,143
37 * 82,3034
4 - 49,-45
88 * 6,528
82 - 81,1
59 + 84,143
25 / 4,6
48 / 1,48
33 - 65,-32
56 / 8,7
94 * 49,4606
20 + 76,96
81 * 9,729
50 + 80,130
74 * 57,4218
2 - 96,-94
54 + 33,87
50 + 78,128
40 * 13,520
19 * 42,798
81 * 54,4374
84 / 2,42
32 / 8,4
53 / 8,6
45 * 48,2160
38 / 4,9
15 / 4,3
33 * 47,1551
41 - 57,-16
56 + 53,109
39 / 9,4
5 - 29,-24
96 / 5,19
29 - 13,16
5 - 45,-40
8 * 68,544
23 + 5,28
90 + 86,176
78 * 20,1560
94 * 63,5922
51 * 6,306
65 * 41,2665
79 / 4,19
49 * 62,3038
5 + 52,57
61 * 3,183
77 - 14,63
57 / 9,6
44 - 38,6
43 / 4,10
11 * 62,682
34 / 7,4
77 / 5,15
45 / 8,5
73 * 82,5986
5 - 4,1
88 + 7,95
27 * 8,216
39 * 88,3432
10 + 11,21
65 / 1,65
65 - 30,35
83 / 4,20
21 / 6,3
58 - 10,48
86 - 10,76
87 / 7,12
75 / 10,7
40 - 1,39
15 / 4,3
32 * 6,192
33 / 1,33
92 - 17,75
97 / 1,97
33 / 3,11
47 - 27,20
68 * 28,1904
86 / 4,21
21 * 54,1134
67 - 75,-8
33 / 10,3
34 / 3,11
17 / 8,2
85 + 99,184
4 / 4,1
56 + 4,60
1 - 43,-42
64 / 1,64
29 * 78,2262
27 / 2,13
85 / 1,85
24 * 41,984
7 / 7,1
63 + 62,125
12 - 84,-72
60 / 9,6
95 * 71,6745
83 + 57,140
14 * 49,686
61 - 6,55
50 / 10,5
73 * 82,5986
3 + 54,57
51 * 44,2244
59 + 58,117
15 / 2,7
13 + 69,82
17 - 82,-65
72 * 14,1008
20 * 62,1240
12 - 68,-56
35 * 79,2765
12 * 63,756
34 * 99,3366
76 - 73,3
54 - 53,1
95 + 27,122
51 + 73,124
30 - 43,-13
66 + 18,84
40 + 90,130
61 * 44,2684
97 / 1,97
65 - 24,41
3 - 46,-43
21 / 2,10
55 / 8,6
1 * 9,9
37 + 72,109
57 / 4,14
51 / 5,10
92 / 1,92
14 + 74,88
8 - 70,-62
31 + 51,82
48 + 58,106
47 / 9,5
56 / 2,28
19 / 3,6
64 * 79,5056
4 * 52,208
12 / 8,1
23 / 4,5
75 / 10,7
18 + 1,19
100 / 2,50
33 / 9,3
52 + 63,115
44 / 9,4
80 / 7,11
80 - 67,13
99 / 5,19
59 * 57,3363
66 * 44,2904
82 + 39,121
34 - 43,-9
31 - 52,-21
16 + 89,105
34 / 8,4
63 - 77,-14
81 - 38,43
43 / 3,14
33 - 70,-37
96 + 65,161
17 + 48,65
83 * 79,6557
31 / 4,7
96 / 1,96
