date,region,bottle_size_ml,plastic_grade,cashback_bdt,market_recycle_price_bdt_per_kg,user_density_per_km2,awareness_index,distance_to_collection_km,rain_mm,campaign,bottles_sold,return_rate_percent,return_count,gross_recycle_value_bdt,cashback_cost_bdt,net_benefit_bdt
2023-02-11,Rajshahi,1000,3,4.54,63.65,19,0.6,2.32,26.9,0,567,63.05,357,681.69,1620.78,-939.09
2024-09-01,Sylhet,1000,4,3.54,38.55,29,0.528,3.03,217.9,0,1130,44.82,506,585.19,1791.24,-1206.05
2023-04-10,Sylhet,500,3,5.02,42.48,31,0.641,1.33,96.6,1,2294,71.61,1643,1046.92,8247.86,-7200.94
2023-07-26,Rangpur,1500,2,4.56,48.15,11,0.311,0.54,194.6,0,1633,51.75,845,1830.9,3853.2,-2022.3
2024-02-28,Chattogram,500,3,2.84,45.61,124,0.713,0.78,8.9,1,997,52.34,522,357.13,1482.48,-1125.35
2025-02-15,Barishal,1500,3,2.68,50.9,14,0.612,3.76,0.0,0,2370,36.01,853,1953.8,2286.04,-332.24
2024-11-28,Rajshahi,250,3,2.26,54.94,13,0.57,1.95,64.3,0,484,39.42,191,78.7,431.66,-352.96
2024-01-30,Barishal,1500,3,3.88,47.94,13,0.22,1.26,17.0,0,2109,65.46,1381,2979.23,5358.28,-2379.05
2024-02-26,Mymensingh,1000,3,5.82,62.09,9,0.144,2.51,0.0,0,1326,66.2,878,1635.45,5109.96,-3474.51
2024-11-25,Dhaka,500,5,2.0,63.12,848,0.724,3.23,0.0,0,2616,60.22,1575,1491.21,3150.0,-1658.79
2024-09-29,Mymensingh,500,1,1.48,46.42,14,0.805,2.36,172.7,0,2311,34.4,795,553.56,1176.6,-623.04
2023-02-08,Dhaka,500,3,1.6,28.55,858,0.338,2.76,0.0,0,2788,27.18,758,324.61,1212.8,-888.19
2024-11-10,Dhaka,2000,3,4.92,58.44,708,0.346,3.2,73.1,0,1066,61.9,660,2314.22,3247.2,-932.98
2024-02-24,Dhaka,500,3,2.75,66.38,1966,0.679,2.35,51.7,0,976,64.63,631,628.29,1735.25,-1106.96
2025-03-18,Chattogram,250,2,2.12,58.29,143,0.079,1.04,124.7,1,1874,41.36,775,338.81,1643.0,-1304.19
2024-10-08,Sylhet,1000,2,2.76,55.28,11,0.14,1.11,38.8,0,589,43.96,259,429.53,714.84,-285.31
2024-10-22,Dhaka,1000,2,4.23,33.76,1380,0.531,2.56,24.2,0,7713,54.08,4171,4224.39,17643.33,-13418.94
2024-07-22,Dhaka,1000,5,3.73,58.71,979,0.716,1.18,250.3,1,5041,64.25,3239,5704.85,12081.47,-6376.62
2025-03-02,Mymensingh,1000,4,4.72,40.09,13,0.432,2.19,48.0,0,550,51.84,285,342.77,1345.2,-1002.43
2025-01-16,Rangpur,500,3,2.7,75.17,9,0.237,2.67,33.8,0,1919,36.62,703,792.67,1898.1,-1105.43
2024-03-24,Rangpur,1500,4,3.26,59.22,15,0.43,4.46,49.5,1,3742,49.63,1857,4948.72,6053.82,-1105.1
2024-08-22,Rangpur,500,2,1.51,36.69,19,0.36,1.59,147.1,0,1242,21.88,272,149.7,410.72,-261.02
2025-02-16,Barishal,250,4,1.37,48.38,14,0.531,1.72,53.8,0,967,37.12,359,130.26,491.83,-361.57
2025-06-20,Dhaka,1000,3,3.31,70.79,686,0.244,0.53,174.9,0,3738,47.23,1765,3748.33,5842.15,-2093.82
2025-05-02,Chattogram,1000,3,2.51,40.13,235,0.508,0.63,132.5,0,4217,45.35,1912,2301.86,4799.12,-2497.26
2024-07-11,Barishal,500,4,4.06,51.53,17,0.461,1.01,108.7,0,529,58.32,309,238.84,1254.54,-1015.7
2024-08-31,Chattogram,1000,4,1.22,60.78,331,0.469,2.06,179.3,0,1776,41.96,745,1358.43,908.9,449.53
2023-10-02,Sylhet,500,4,1.61,65.27,31,0.193,0.8,59.6,0,1503,35.88,539,527.71,867.79,-340.08
2024-11-30,Dhaka,500,2,5.33,30.43,878,0.687,2.74,20.2,0,477,62.21,297,135.57,1583.01,-1447.44
2023-05-28,Chattogram,1500,5,3.83,53.91,154,0.693,0.63,73.0,0,531,63.78,339,822.4,1298.37,-475.97
2024-07-17,Rajshahi,250,5,4.56,74.73,19,0.793,0.95,205.7,0,858,74.06,635,355.9,2895.6,-2539.7
2024-05-24,Sylhet,500,3,5.21,78.1,16,0.475,1.46,72.6,0,1654,71.47,1182,1384.71,6158.22,-4773.51
2024-03-19,Rajshahi,1500,1,3.32,59.37,23,0.27,1.3,73.0,0,4040,46.17,1865,4982.63,6191.8,-1209.17
2024-08-29,Sylhet,2000,2,4.81,79.02,32,0.883,5.23,249.7,0,233,62.34,145,687.47,697.45,-9.98
2024-07-27,Dhaka,1000,5,3.62,54.24,1177,0.724,2.06,131.2,0,1777,60.52,1075,1749.24,3891.5,-2142.26
2025-01-01,Dhaka,1000,3,2.11,46.56,1465,0.295,2.45,0.0,0,839,33.38,280,391.1,590.8,-199.7
2024-03-08,Rangpur,1000,3,2.69,53.1,16,0.199,1.5,154.3,0,2372,36.38,863,1374.76,2321.47,-946.71
2023-11-09,Sylhet,1500,2,3.45,26.94,29,0.635,1.27,98.4,1,3336,52.14,1739,2108.19,5999.55,-3891.36
2024-08-17,Dhaka,1500,2,2.58,44.1,1133,0.293,1.87,108.3,0,3407,38.5,1312,2603.66,3384.96,-781.3
2025-07-03,Rangpur,500,3,2.68,47.5,7,0.17,4.51,265.7,0,1527,21.7,331,235.84,887.08,-651.24
2023-03-24,Dhaka,500,3,2.69,70.92,1370,0.637,0.66,103.2,0,1293,42.89,555,590.41,1492.95,-902.54
2023-02-22,Khulna,1000,5,1.61,65.52,44,0.522,0.44,1.7,0,4158,43.1,1792,3522.36,2885.12,637.24
2024-09-17,Dhaka,1000,3,1.42,56.09,1745,0.88,1.64,180.2,0,1297,33.95,440,740.39,624.8,115.59
2024-09-22,Barishal,1000,4,1.23,40.84,21,0.776,2.09,162.8,0,1701,36.32,618,757.17,760.14,-2.97
2024-04-25,Sylhet,1000,2,1.55,31.22,34,0.898,0.58,80.0,1,1183,36.49,432,404.61,669.6,-264.99
2024-06-23,Dhaka,2000,1,2.72,40.87,1065,0.384,1.16,163.4,0,2068,34.91,722,1770.49,1963.84,-193.35
2024-09-16,Rangpur,250,3,3.97,60.79,8,0.445,1.78,132.9,0,628,40.05,252,114.89,1000.44,-885.55
2024-08-30,Khulna,500,3,1.94,35.78,54,0.278,0.76,127.1,1,1332,38.41,512,274.79,993.28,-718.49
2023-06-22,Chattogram,500,2,5.44,45.61,269,0.236,2.93,188.6,0,1745,54.28,947,647.89,5151.68,-4503.79
2024-01-30,Dhaka,500,5,5.04,43.21,985,0.117,1.76,0.0,1,3373,75.83,2558,1657.97,12892.32,-11234.35
2023-05-28,Chattogram,250,3,3.6,65.94,249,0.624,3.14,23.1,0,1450,56.08,813,402.07,2926.8,-2524.73
2023-09-14,Dhaka,250,2,4.62,73.03,806,0.283,0.64,201.3,0,293,49.37,145,79.42,669.9,-590.48
2024-06-20,Rajshahi,1000,2,2.83,61.96,24,0.103,0.98,200.8,0,1082,31.14,337,626.42,953.71,-327.29
2023-05-29,Rangpur,1500,2,1.18,40.5,6,0.432,5.13,100.9,0,4542,20.63,937,1707.68,1105.66,602.02
2025-05-06,Rajshahi,1000,5,5.52,45.99,27,0.259,1.16,83.1,0,1826,65.27,1192,1644.6,6579.84,-4935.24
2023-10-29,Dhaka,1000,2,1.64,28.6,968,0.307,1.78,44.9,0,985,24.2,238,204.2,390.32,-186.12
2024-04-01,Dhaka,500,3,5.74,30.09,2147,0.412,2.21,128.1,0,807,69.29,559,252.3,3208.66,-2956.36
2025-05-02,Dhaka,1000,3,3.86,29.86,1116,0.488,0.76,115.3,0,2124,51.06,1085,971.94,4188.1,-3216.16
2023-04-02,Khulna,1000,2,2.53,27.84,49,0.251,2.57,169.2,0,1011,25.25,255,212.98,645.15,-432.17
2024-12-03,Barishal,1000,2,3.48,30.77,7,0.57,0.77,80.4,0,1667,54.15,903,833.56,3142.44,-2308.88
2024-12-07,Dhaka,500,2,3.51,32.16,1929,0.527,0.39,42.7,0,956,54.92,525,253.26,1842.75,-1589.49
2023-01-09,Barishal,250,3,1.12,26.71,13,0.842,2.47,100.7,0,876,31.07,272,54.49,304.64,-250.15
2024-07-21,Rangpur,250,2,2.78,58.42,18,0.107,2.89,183.0,0,1248,31.38,392,171.75,1089.76,-918.01
2023-11-26,Khulna,1000,1,4.7,79.42,45,0.437,2.53,33.3,0,1501,51.85,778,1853.66,3656.6,-1802.94
2023-04-03,Rangpur,1500,4,3.55,72.75,8,0.484,3.5,78.1,0,1573,50.76,798,2612.45,2832.9,-220.45
2023-02-08,Rajshahi,1500,2,2.22,22.74,16,0.748,3.6,9.8,0,1346,47.96,646,661.05,1434.12,-773.07
2024-03-02,Sylhet,1000,4,2.68,45.38,38,0.528,0.41,169.0,0,3527,43.79,1544,2102.0,4137.92,-2035.92
2024-02-03,Rajshahi,1000,4,5.32,71.56,24,0.646,0.74,0.0,1,1229,81.94,1007,2161.83,5357.24,-3195.41
2023-03-07,Khulna,1500,3,3.63,28.08,26,0.487,1.69,13.7,0,4481,63.75,2857,3610.11,10370.91,-6760.8
2024-12-13,Dhaka,500,3,3.64,70.86,875,0.546,1.54,11.3,1,1460,73.17,1068,1135.18,3887.52,-2752.34
2024-06-14,Chattogram,500,2,5.81,55.56,296,0.594,0.43,194.6,0,1029,68.04,700,583.38,4067.0,-3483.62
2023-07-25,Chattogram,1500,4,2.6,75.88,171,0.742,2.25,158.4,0,2013,52.96,1066,3639.96,2771.6,868.36
2024-03-03,Rajshahi,500,3,3.4,72.56,14,0.9,1.56,65.8,0,2762,61.98,1712,1863.34,5820.8,-3957.46
2023-10-03,Dhaka,1500,3,5.06,60.62,1189,0.653,4.03,3.2,0,923,79.63,735,2005.01,3719.1,-1714.09
2025-02-12,Mymensingh,2000,1,4.79,59.47,13,0.769,2.98,0.0,0,599,60.58,363,1295.26,1738.77,-443.51
2024-05-14,Barishal,1000,5,2.33,32.79,11,0.828,1.04,27.3,1,3286,69.01,2268,2231.03,5284.44,-3053.41
2023-09-24,Khulna,1500,1,1.76,27.01,90,0.805,2.34,213.5,0,4178,33.92,1417,1722.29,2493.92,-771.63
2024-12-20,Dhaka,1000,3,4.5,44.92,1035,0.577,0.22,0.0,0,2383,66.99,1596,2150.77,7182.0,-5031.23
2023-09-12,Rangpur,1000,3,2.29,31.19,5,0.593,2.01,154.0,0,970,38.61,375,350.89,858.75,-507.86
2024-02-27,Rangpur,500,1,5.61,26.15,4,0.559,2.85,22.4,0,1471,58.33,858,336.55,4813.38,-4476.83
2023-12-29,Barishal,250,3,1.65,38.14,20,0.389,0.76,0.0,0,706,31.94,225,64.36,371.25,-306.89
2023-09-05,Chattogram,500,4,2.59,71.63,143,0.857,1.45,191.0,0,3364,47.91,1612,1732.01,4175.08,-2443.07
2023-09-29,Khulna,1000,4,1.27,21.03,45,0.308,0.73,198.0,0,1906,21.86,417,263.09,529.59,-266.5
2024-12-16,Dhaka,250,4,4.52,37.56,775,0.673,0.57,88.5,0,2240,57.03,1277,359.73,5772.04,-5412.31
2024-02-22,Dhaka,250,3,5.46,45.44,1055,0.908,0.24,30.1,0,1791,71.64,1283,437.25,7005.18,-6567.93
2024-08-06,Barishal,250,3,4.18,50.63,15,0.778,1.1,95.4,0,1640,54.72,897,340.61,3749.46,-3408.85
2024-05-25,Barishal,1000,1,5.69,30.89,7,0.269,1.59,56.9,0,1893,60.4,1143,1059.22,6503.67,-5444.45
2025-05-22,Rajshahi,2000,3,1.64,77.85,16,0.446,2.06,68.6,0,1635,34.79,569,2657.8,933.16,1724.64
2024-02-16,Rangpur,2000,2,1.44,54.73,6,0.484,1.26,81.6,0,3703,45.05,1668,5477.38,2401.92,3075.46
2024-02-07,Rajshahi,1000,3,5.19,51.33,13,0.649,0.77,20.9,0,612,72.74,445,685.26,2309.55,-1624.29
2024-08-11,Khulna,1500,3,5.28,20.53,38,0.823,2.21,196.3,0,891,59.42,529,488.72,2793.12,-2304.4
2024-09-15,Chattogram,1000,3,5.16,49.14,172,0.594,3.3,167.9,0,1269,69.65,884,1303.19,4561.44,-3258.25
2023-10-01,Mymensingh,1000,3,4.99,70.26,19,0.653,0.73,101.7,0,1436,66.58,956,2015.06,4770.44,-2755.38
2023-01-29,Dhaka,1000,5,2.81,33.18,825,0.919,3.57,4.8,0,3298,52.89,1744,1735.98,4900.64,-3164.66
2025-03-21,Mymensingh,250,3,2.09,41.07,16,0.435,0.47,13.1,0,630,41.97,264,81.32,551.76,-470.44
2024-04-01,Rangpur,1500,5,5.64,21.23,10,0.687,3.24,0.0,0,2391,67.14,1605,1533.34,9052.2,-7518.86
2023-01-26,Dhaka,500,4,2.54,78.62,603,0.801,1.4,50.3,1,1484,62.63,929,1095.57,2359.66,-1264.09
2023-10-02,Rajshahi,500,3,2.99,24.0,16,0.792,1.85,93.1,1,2972,54.56,1622,583.92,4849.78,-4265.86
2024-03-14,Rangpur,1000,3,4.5,73.89,8,0.392,0.94,96.1,0,2155,53.08,1144,2535.9,5148.0,-2612.1
2025-04-24,Rajshahi,500,2,2.47,38.78,22,0.403,2.87,84.8,0,1496,32.88,492,286.2,1215.24,-929.04
2023-12-12,Mymensingh,500,4,5.1,55.25,12,0.85,1.17,0.0,0,815,67.57,551,456.64,2810.1,-2353.46
2024-02-22,Mymensingh,1000,3,1.35,60.76,20,0.586,2.48,4.1,0,2079,37.0,769,1401.73,1038.15,363.58
2024-06-18,Khulna,250,5,4.96,28.45,46,0.148,1.48,176.0,0,1239,43.47,539,115.01,2673.44,-2558.43
2023-05-22,Chattogram,1000,3,4.01,46.63,265,0.529,1.0,50.8,0,1517,66.41,1007,1408.69,4038.07,-2629.38
2024-07-08,Mymensingh,1000,4,3.86,39.53,10,0.086,2.07,202.8,0,2829,36.68,1038,1230.96,4006.68,-2775.72
2025-03-10,Sylhet,1000,4,3.29,23.4,36,0.536,1.58,73.8,1,4596,51.32,2359,1656.02,7761.11,-6105.09
2023-06-16,Dhaka,1000,3,2.39,69.99,2385,0.241,1.66,206.3,1,522,44.54,232,487.13,554.48,-67.35
2023-09-03,Dhaka,1000,2,3.32,22.71,1357,0.721,0.92,226.2,0,2837,45.06,1278,870.7,4242.96,-3372.26
2023-09-26,Rajshahi,1000,3,3.25,59.2,31,0.151,0.69,197.7,0,4060,42.04,1707,3031.63,5547.75,-2516.12
2024-08-21,Mymensingh,1000,3,3.92,38.84,12,0.679,1.67,186.8,0,1457,56.72,826,962.46,3237.92,-2275.46
2024-06-16,Rangpur,1000,2,2.41,31.53,13,0.561,1.91,127.4,1,729,39.89,291,275.26,701.31,-426.05
2023-01-01,Sylhet,1000,4,1.39,60.03,45,0.606,2.77,32.4,0,2104,34.46,725,1305.65,1007.75,297.9
2025-07-23,Dhaka,1500,3,1.73,54.47,1212,0.488,3.57,115.9,0,1439,39.34,566,1387.35,979.18,408.17
2025-02-10,Chattogram,500,5,4.5,38.92,215,0.935,0.39,0.0,0,19120,75.42,14420,8418.4,64890.0,-56471.6
2023-04-29,Rangpur,500,4,1.11,50.78,4,0.815,3.1,91.6,0,2067,32.39,670,510.34,743.7,-233.36
2023-05-31,Dhaka,1500,3,5.28,34.77,1085,0.218,0.47,29.4,0,1165,72.77,848,1326.82,4477.44,-3150.62
2023-07-14,Chattogram,500,5,4.47,71.82,278,0.436,1.14,270.7,1,584,65.04,380,409.37,1698.6,-1289.23
2023-03-30,Dhaka,250,3,4.84,38.83,809,0.526,0.52,116.5,0,828,72.78,603,175.61,2918.52,-2742.91
2024-03-13,Sylhet,1000,4,5.18,34.71,18,0.635,1.74,82.0,0,3041,63.65,1936,2015.96,10028.48,-8012.52
2023-06-28,Mymensingh,250,3,1.61,65.11,14,0.463,0.81,68.2,0,486,30.19,147,71.78,236.67,-164.89
2023-10-08,Chattogram,500,3,5.11,21.06,243,0.865,0.17,4.1,0,497,79.51,395,124.78,2018.45,-1893.67
2025-04-14,Khulna,2000,3,3.52,36.08,26,0.304,1.08,171.2,1,3285,42.13,1384,2996.08,4871.68,-1875.6
2025-02-25,Sylhet,1000,3,5.43,42.52,30,0.506,2.45,8.1,0,1257,61.29,770,982.21,4181.1,-3198.89
2024-01-26,Mymensingh,500,3,5.43,72.93,15,0.144,0.84,77.3,1,1358,62.4,847,926.58,4599.21,-3672.63
2023-05-14,Dhaka,2000,3,1.12,77.03,1865,0.777,1.35,59.2,0,2452,47.21,1158,5352.04,1296.96,4055.08
2023-08-26,Khulna,2000,3,2.91,62.99,37,0.071,1.41,140.0,1,1383,44.94,622,2350.79,1810.02,540.77
2023-03-31,Chattogram,500,5,3.63,49.55,511,0.761,0.75,37.3,0,535,67.9,363,269.8,1317.69,-1047.89
2023-03-07,Rangpur,500,3,4.39,58.44,9,0.434,0.86,18.6,0,1030,58.63,604,529.47,2651.56,-2122.09
2023-04-11,Khulna,1500,3,2.43,44.84,27,0.759,0.82,102.7,0,2271,44.73,1016,2050.08,2468.88,-418.8
2024-04-09,Dhaka,1000,3,2.26,37.93,963,0.593,1.76,95.2,0,1714,42.41,727,827.25,1643.02,-815.77
2024-05-26,Sylhet,1000,4,2.91,77.04,19,0.553,1.7,58.4,0,4672,46.7,2182,5043.04,6349.62,-1306.58
2025-04-20,Barishal,1500,5,3.5,26.92,12,0.72,2.36,0.0,0,2182,57.11,1246,1509.4,4361.0,-2851.6
2025-02-28,Dhaka,1000,3,5.76,40.78,1326,0.22,0.97,20.0,0,895,76.96,689,842.92,3968.64,-3125.72
2025-07-01,Rangpur,500,2,4.81,73.95,10,0.464,1.75,202.4,1,4378,62.24,2725,3022.71,13107.25,-10084.54
2024-07-31,Dhaka,1000,3,3.15,63.39,699,0.529,1.65,268.4,0,4588,47.73,2190,4164.72,6898.5,-2733.78
2025-07-27,Rajshahi,500,3,1.27,21.75,12,0.612,2.48,221.0,1,999,31.03,310,101.14,393.7,-292.56
2024-04-15,Khulna,1000,4,1.84,21.39,53,0.694,1.44,87.7,0,2425,35.62,864,554.43,1589.76,-1035.33
2023-03-19,Barishal,1000,3,3.28,50.99,17,0.784,0.93,46.2,0,2608,54.35,1417,2167.58,4647.76,-2480.18
2023-12-30,Chattogram,250,5,5.07,49.06,182,0.323,2.44,79.9,0,2075,59.01,1224,450.37,6205.68,-5755.31
2024-12-30,Rangpur,1000,3,2.9,46.58,3,0.353,2.62,34.6,0,623,43.66,272,380.09,788.8,-408.71
2024-02-29,Barishal,500,5,3.69,38.14,8,0.534,1.61,36.3,0,13251,49.95,6619,3786.73,24424.11,-20637.38
2023-08-13,Sylhet,500,1,5.46,79.2,44,0.427,1.14,227.2,1,1212,57.17,693,823.28,3783.78,-2960.5
2023-07-15,Barishal,1000,4,5.57,36.32,10,0.392,1.8,170.3,0,2104,54.14,1139,1241.05,6344.23,-5103.18
2025-04-29,Barishal,500,5,2.08,49.4,11,0.758,0.72,115.9,0,3112,55.49,1727,1279.71,3592.16,-2312.45
2024-02-16,Dhaka,1000,5,1.22,44.29,1371,0.799,1.24,0.0,0,1224,45.05,551,732.11,672.22,59.89
2024-02-12,Chattogram,250,1,2.53,30.21,196,0.742,2.26,1.4,0,3897,46.46,1811,410.33,4581.83,-4171.5
2024-02-18,Mymensingh,1000,2,4.48,32.16,23,0.088,1.08,48.9,0,1635,48.33,790,762.19,3539.2,-2777.01
2024-04-18,Dhaka,1500,3,5.76,75.1,946,0.782,0.99,77.6,0,1048,82.52,865,2923.27,4982.4,-2059.13
2024-12-27,Barishal,1000,1,1.39,71.5,9,0.142,3.56,19.6,0,602,18.45,111,238.1,154.29,83.81
2024-10-31,Mymensingh,1000,1,1.14,31.94,21,0.802,1.65,32.5,0,1256,41.71,524,502.1,597.36,-95.26
2023-03-16,Dhaka,2000,2,5.42,72.54,1120,0.069,1.99,118.4,0,2109,60.02,1266,5510.14,6861.72,-1351.58
2025-04-04,Sylhet,500,3,4.74,32.55,19,0.492,0.6,14.0,1,1311,63.08,827,403.78,3919.98,-3516.2
2024-08-24,Khulna,250,3,5.96,57.59,54,0.507,2.39,215.1,1,2586,70.93,1834,792.15,10930.64,-10138.49
2024-01-21,Rajshahi,500,1,2.98,24.88,17,0.54,2.94,32.0,0,5212,44.65,2327,868.44,6934.46,-6066.02
